Locus tag,Locus,log_fc,pvalue
Rv0896,gltA2,-0.358267267884147,0.069
Rv2062c,cobN,-0.35634461069458906,0.068
Rv2150c,ftsZ,-0.3550359060959106,0.0973
Rv3587c,,-0.3541757747082999,0.1548
Rv2192c,trpD,-0.35415248823375245,0.0215
Rv3089,fadD13,-0.3540399468832409,0.0054
Rv2161c,,-0.35345855997924924,0.4445
Rv1751,,-0.35286515595202694,0.0302
Rv1185c,fadD21,-0.35282841750323796,0.1076
Rv3051c,nrdE,-0.35155734488684837,0.0477
Rv1117,,-0.35136584802409404,0.616
Rv0486,mshA,-0.3511168686325878,0.0075
Rv1178,,-0.3506927991893984,0.1273
Rv0865,mog,-0.34776217424781325,0.8651
Rv1213,glgC,-0.34755959786750606,0.043
Rv1508c,,-0.3462469579559301,0.3678
Rv3761c,fadE36,-0.34550619060157994,0.0788
Rv3489,,-0.3429897104151909,0.1134
Rv0998,,-0.3428090573039199,0.0851
Rv0937c,mku,-0.3416977385045042,0.0535
Rv2345,,-0.3415141444877253,0.229
Rv1108c,xseA,-0.3411869827740253,0.0072
Rv3132c,devS,-0.34034201104885375,0.1313
Rv3296,lhr,-0.3402243413012741,0.198
Rv1912c,fadB5,-0.3395973600022156,0.2259
Rv2259,mscR,-0.33957910538171415,0.0336
Rv3564,fadE33,-0.33940786852735055,0.2067
Rv2155c,murD,-0.339137718722272,0.0086
Rv3775,lipE,-0.3390445016080759,0.0248
Rv3874,esxB,-0.3379704504122469,0.0783
Rv3543c,fadE29,-0.33759517950683743,0.1264
Rv3908,mutT4,-0.33748557545183766,0.1743
Rv1900c,lipJ,-0.33613357741587335,0.0379
Rv0772,purD,-0.33610454204811246,0.0578
Rv0339c,,-0.33502961154376526,0.1054
Rv2457c,clpX,-0.33479011896260996,0.1151
Rv1317c,alkA,-0.33444138006629154,0.0598
Rv0571c,,-0.33425675274085265,0.0151
Rv2006,otsB1,-0.3341981238649931,0.2471
Rv3091,,-0.3337274909725267,0.0103
Rv3526,kshA,-0.33315632574577253,0.1895
Rv1665,pks11,-0.3330384082904625,0.0236
Rv3714c,,-0.33267857855450755,0.3212
Rv2102,,-0.3322957986114531,0.2061
Rv2455c,,-0.33222618801422144,0.022
Rv1664,pks9,-0.33219461199931644,0.7268
Rv0005,gyrB,-0.33200200365571,0.1754
