Locus tag,Locus,log_fc,pvalue
Rv0216,,-0.5197222692482959,0.0272
Rv1981c,nrdF1,-0.5184711022955871,0.2405
Rv3561,fadD3,-0.5172589493734587,0.0203
Rv0501,galE2,-0.5165734403359947,0.0632
Rv2471,aglA,-0.5155811552423673,0.1681
Rv1335,cysO,-0.5128154640057465,0.1495
Rv1114,vapC32,-0.5118529341201717,0.3895
Rv1160,mutT2,-0.5112831882033835,0.0247
Rv1285,cysD,-0.5099778031306353,0.0712
Rv2302,,-0.5099223102139604,0.0396
Rv0767c,,-0.5095183667386051,0.0255
Rv2090,,-0.5092594603276168,0.0697
Rv1774,,-0.5080225542718008,0.0088
Rv1847,,-0.5080017958881465,0.2829
Rv0053,rpsF,-0.5074462265746644,0.0628
Rv2565,,-0.507234219912344,0.0241
Rv3272,,-0.504873460804416,0.0345
Rv2045c,lipT,-0.5048426580841124,0.0181
Rv1400c,lipI,-0.5018710742170456,0.117
Rv2400c,subI,-0.5017482810769591,0.034
Rv3148,nuoD,-0.5012017903325181,0.0127
Rv2423,,-0.4994783793059262,0.0894
Rv0688,,-0.49755762716567337,0.0659
Rv0511,hemD,-0.49505417302811044,0.2234
Rv0564c,gpdA1,-0.4931326764918237,0.012
Rv1767,,-0.4931052167995127,0.0153
Rv0516c,,-0.49174415909658603,0.2571
Rv3564,fadE33,-0.49021273106609,0.0234
Rv0331,,-0.4888589799035455,0.0852
Rv3441c,mrsA,-0.4873816273582997,0.0388
Rv2583c,relA,-0.48737176598054494,0.0225
Rv0808,purF,-0.48643338482067716,0.004
Rv0552,,-0.48619993646469795,0.0487
Rv1267c,embR,-0.48501067163953476,0.0074
Rv3315c,cdd,-0.48020384614425626,0.0564
Rv2217,lipB,-0.47980472896422766,0.0427
Rv0885,,-0.4795527489166035,0.0784
Rv1862,adhA,-0.47862004238364175,0.0557
Rv0893c,,-0.47783041836885126,0.4594
Rv3421c,,-0.4775784718801627,0.1088
Rv0272c,,-0.47651662577866005,0.1175
Rv0189c,ilvD,-0.47622956691735857,0.0197
Rv0423c,thiC,-0.4762214439729011,0.0017
Rv0910,,-0.47606130303731986,0.0916
Rv2228c,,-0.4750554930720342,0.0493
Rv2890c,rpsB,-0.474530895067874,0.0693
Rv1259,udgB,-0.47423227179159555,0.0554
Rv1033c,trcR,-0.4739523444238087,0.053
Rv0002,dnaN,-0.47349291068425226,0.0844
